result_fact_id,student_key,course_key,academic_period_key,assessment_key,grade_key,assessment_score,final_mark,source_system
1,112,1,1,1,4,,52.0,
2,135,1,1,1,5,85.0,38.0,
3,102,1,1,1,5,,2.0,
4,7,1,1,1,22,60.0,46.0,
5,111,1,1,1,22,100.0,45.0,
6,160,1,1,1,5,0.0,5.0,
7,62,1,1,1,22,90.0,48.0,
8,57,1,1,1,22,100.0,47.0,
9,33,1,1,1,22,80.0,49.0,
10,154,1,1,1,5,,1.0,
11,148,1,1,1,5,100.0,24.0,
12,147,1,1,1,5,100.0,25.0,
13,41,1,1,1,5,0.0,15.0,
14,49,1,1,1,5,70.0,26.0,
15,110,1,1,1,5,,22.0,
16,5,1,1,1,1,70.0,86.0,
17,106,1,1,1,5,100.0,33.0,
18,83,1,1,1,5,50.0,30.0,
19,15,1,1,1,4,85.0,59.0,
20,23,1,1,1,1,90.0,83.0,
21,87,1,1,1,7,100.0,41.0,
22,78,1,1,1,5,90.0,39.0,
23,77,1,1,1,4,50.0,50.0,
24,155,1,1,1,5,,0.0,
25,17,1,1,1,5,70.0,5.0,
26,8,1,1,1,22,25.0,46.0,
27,152,1,1,1,5,,11.0,
28,38,1,1,1,22,60.0,45.0,
29,142,1,1,1,2,100.0,71.0,
30,121,1,1,1,5,,25.0,
31,136,1,1,1,4,75.0,56.0,
32,151,1,1,1,5,80.0,10.0,
33,100,1,1,1,5,,10.0,
34,164,1,1,1,5,,0.0,
35,43,1,1,1,7,45.0,43.0,
36,137,1,1,1,5,90.0,37.0,
37,128,1,1,1,5,85.0,30.0,
38,40,1,1,1,5,100.0,34.0,
39,93,1,1,1,5,60.0,33.0,
40,25,1,1,1,7,100.0,40.0,
41,169,1,1,1,5,,0.0,
42,52,1,1,1,3,80.0,62.0,
43,95,1,1,1,9,30.0,,
44,56,1,1,1,3,80.0,60.0,
45,89,1,1,1,5,,9.0,
46,91,1,1,1,2,80.0,72.0,
47,26,1,1,1,5,60.0,18.0,
48,75,1,1,1,4,40.0,55.0,
49,53,1,1,1,5,100.0,37.0,
50,156,1,1,1,7,90.0,42.0,
51,145,1,1,1,5,100.0,17.0,
52,153,1,1,1,5,30.0,26.0,
53,127,1,1,1,5,50.0,23.0,
54,55,1,1,1,5,75.0,22.0,
55,63,1,1,1,22,100.0,46.0,
56,80,1,1,1,3,100.0,67.0,
57,48,1,1,1,22,100.0,48.0,
58,166,1,1,1,5,20.0,0.0,
59,103,1,1,1,2,100.0,74.0,
