material_key,context,component,material_type
1,"Unit: ICT001 Theory of Programming (S1, 2025)",System,Course Page
2,File: Lab description (PDF),File,Lecture Material
3,File: Solutions (Hidden from Students),File,Lecture Material
4,File: Solutions,File,Lecture Material
5,File: Lab Solutions,File,Lecture Material
6,File: Lecture Slides (PPT for students),File,Lecture Material
7,"Unit: ICT001 Theory of Programming (S1, 2025)",User report,Course Page
8,Assignment: Assignment 2,Assignment,Assignment
9,Assignment: Assignment 1,Assignment,Assignment
10,Assignment: Assessed Exercise Week 11 (for students enrolled Face-to-Face),Assignment,Assignment
11,File: Assessed Exercise Week 4,File,Other
12,File: Assessed Exercise Week 3,File,Other
13,File: Assessed Exercise - Week 10,File,Other
14,File: Assessed Exercise - Week 11,File,Other
15,Assignment: Assessed Exercise Week 3 (for students enrolled Face-to-Face),Assignment,Assignment
16,Forum: Announcements (all students),Forum,Forum
17,File: Assessed Exercise - Week 12,File,Other
18,File: Assessed Exercise - Week 8,File,Other
19,File: Assessed Exercise Week 7,File,Other
20,File: Assessed Exercise Week 6,File,Other
21,File: Unit Information and Administrative Matters (PDF),File,Lecture Material
22,Assignment: Assessed Exercise Week 4 (for students enrolled Face-to-Face),Assignment,Assignment
23,File: Lecture Slides (PPT),File,Lecture Material
24,File: Lecture Notes (PDF),File,Lecture Material
25,File:  ICT001 Admin Matters - Offline Video Recording,File,Recorded Session
26,File: Drop-in Session (Tue 2024/06/04),File,Other
27,Assignment: Submit the Assessed Exercise of Week 12 (Students enrolled in Online Flexible Model),Assignment,Assignment
28,File: Recorded Lecture (offline),File,Lecture Material
29,File: Video Solution - Part 3,File,Lecture Material
30,File: Lecture recording (offline),File,Lecture Material
31,File: Lecture recording (offline recoding),File,Lecture Material
32,File: ICT001 - Lecture 2 video recording (Offline Recording),File,Lecture Material
33,File: Video Solution - Part 1,File,Lecture Material
34,File: Video Solution - Part 2,File,Lecture Material
35,Assignment: Assessed Exercise Week 7 (for students enrolled Face-to-Face),Assignment,Assignment
36,Assignment: Assessed Exercise Week 14 (for students enrolled Face-to-Face),Assignment,Assignment
37,File: PASS Information,File,Other
38,File: Lecture Recording (offline),File,Lecture Material
39,Assignment: Assessed Exercise Week 8 (for students enrolled Face-to-Face),Assignment,Assignment
40,Assignment: Assessed Exercise Week 6 (for students enrolled Face-to-Face),Assignment,Assignment
41,File: Unit Information and Administrative Matters (PPT presentation),File,Other
42,File: ICT001 Admin Matters - Offline Video Recording,File,Recorded Session
43,Assignment: Submit the Assessed Exercise of Week 14 (Students enrolled in Online Flexible Model),Assignment,Assignment
44,Assignment: Submit the Assessed Exercise of Week 10 (Students enrolled in Online Flexible Model),Assignment,Assignment
