run_id,run_timestamp_utc,pipeline,status,snapshot_date,latest_activity_date,academic_period_key,input_fact_activity_rows,input_fact_result_rows,input_moodle_activity_rows,input_moodle_result_rows,student_snapshot_rows,behaviour_model_snapshot_rows,academic_model_snapshot_rows,behaviour_prediction_snapshot_rows,academic_prediction_snapshot_rows,student_snapshot_added,behaviour_model_snapshot_added,academic_model_snapshot_added,behaviour_prediction_snapshot_added,academic_prediction_snapshot_added,student_snapshot_total,behaviour_model_snapshot_total,academic_model_snapshot_total,behaviour_prediction_snapshot_total,academic_prediction_snapshot_total,message
feat_20260706T063456342804Z,2026-07-06T06:34:56.342804+00:00,feature_engineering_v2.2_incremental,completed,2026-07-06,2026-07-05,2,54512,6676,4,0,172,167,167,172,172,0,0,0,0,0,515,501,501,344,344,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260706T070231792060Z,2026-07-06T07:02:31.792060+00:00,feature_engineering_v2.2_incremental,completed,2026-07-06,2026-07-05,2,54512,6676,4,0,172,167,167,172,172,0,0,0,0,0,515,501,501,344,344,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T112232099302Z,2026-07-07T11:22:32.099302+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-05,2,54512,6676,4,0,172,167,167,172,172,172,167,167,172,172,687,668,668,516,516,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T112657496607Z,2026-07-07T11:26:57.496607+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-05,2,54512,6676,4,0,172,167,167,172,172,172,167,167,172,172,687,668,668,516,516,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T115718146562Z,2026-07-07T11:57:18.146562+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-05,2,54512,6676,4,0,172,167,167,172,172,172,167,167,172,172,687,668,668,516,516,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T120215394895Z,2026-07-07T12:02:15.394895+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,173,167,167,173,173,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T120637804800Z,2026-07-07T12:06:37.804800+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,173,167,167,173,173,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T134422745461Z,2026-07-07T13:44:22.745461+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T135540549503Z,2026-07-07T13:55:40.549503+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T140535125367Z,2026-07-07T14:05:35.125367+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T144729045766Z,2026-07-07T14:47:29.045766+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T144812267379Z,2026-07-07T14:48:12.267379+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,688,668,668,517,517,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T145002301929Z,2026-07-07T14:50:02.301929+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,171,167,167,171,171,859,835,835,688,688,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T145148346179Z,2026-07-07T14:51:48.346179+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,346,334,334,175,175,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260707T173010569839Z,2026-07-07T17:30:10.569839+00:00,feature_engineering_v2.2_incremental,completed,2026-07-07,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,0,0,0,0,0,346,334,334,175,175,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260708T173010816378Z,2026-07-08T17:30:10.816378+00:00,feature_engineering_v2.2_incremental,completed,2026-07-08,2026-07-07,2,54514,6676,6,0,173,167,167,173,173,173,167,167,173,173,519,501,501,348,348,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T145406694456Z,2026-07-09T14:54:06.694456+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,172,167,167,172,172,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T145508042094Z,2026-07-09T14:55:08.042094+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,0,0,0,0,0,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T145551870196Z,2026-07-09T14:55:51.870196+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,0,0,0,0,0,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T145721440735Z,2026-07-09T14:57:21.440735+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,0,0,0,0,0,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T150233747459Z,2026-07-09T15:02:33.747459+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,0,0,0,0,0,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T151209050893Z,2026-07-09T15:12:09.050893+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,0,0,0,0,0,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260709T173010991688Z,2026-07-09T17:30:10.991688+00:00,feature_engineering_v2.2_incremental,completed,2026-07-09,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,0,0,0,0,0,689,668,668,518,518,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260710T173010644894Z,2026-07-10T17:30:10.644894+00:00,feature_engineering_v2.2_incremental,completed,2026-07-10,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,172,167,167,172,172,861,835,835,690,690,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260711T173010609274Z,2026-07-11T17:30:10.609274+00:00,feature_engineering_v2.2_incremental,completed,2026-07-11,2026-07-07,2,54510,3060,2,0,172,167,167,172,172,172,167,167,172,172,1033,1002,1002,862,862,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260712T173013531982Z,2026-07-12T17:30:13.531982+00:00,feature_engineering_v2.2_incremental,completed,2026-07-12,2026-07-12,2,54511,3060,3,0,172,167,167,172,172,172,167,167,172,172,1205,1169,1169,1034,1034,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260713T141834773809Z,2026-07-13T14:18:34.773809+00:00,feature_engineering_v2.2_incremental,completed,2026-07-13,2026-07-12,2,54511,3060,3,0,172,167,167,172,172,172,167,167,172,172,1377,1336,1336,1206,1206,Feature engineering snapshots upserted and latest aliases refreshed.
feat_20260713T143427396627Z,2026-07-13T14:34:27.396627+00:00,feature_engineering_v2.2_incremental,completed,2026-07-13,2026-07-12,2,54511,3060,3,0,172,167,167,172,172,0,0,0,0,0,1377,1336,1336,1206,1206,Feature engineering snapshots upserted and latest aliases refreshed.
