2026-07-06T06:34:56.342804+00:00 | run_id=feat_20260706T063456342804Z | status=completed | snapshot_date=2026-07-06 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-06T07:02:31.792060+00:00 | run_id=feat_20260706T070231792060Z | status=completed | snapshot_date=2026-07-06 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-07T11:22:32.099302+00:00 | run_id=feat_20260707T112232099302Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-07T11:26:57.496607+00:00 | run_id=feat_20260707T112657496607Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-07T11:57:18.146562+00:00 | run_id=feat_20260707T115718146562Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-07T12:02:15.394895+00:00 | run_id=feat_20260707T120215394895Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T12:06:37.804800+00:00 | run_id=feat_20260707T120637804800Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T13:44:22.745461+00:00 | run_id=feat_20260707T134422745461Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T13:55:40.549503+00:00 | run_id=feat_20260707T135540549503Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T14:05:35.125367+00:00 | run_id=feat_20260707T140535125367Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T14:47:29.045766+00:00 | run_id=feat_20260707T144729045766Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T14:48:12.267379+00:00 | run_id=feat_20260707T144812267379Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T14:50:02.301929+00:00 | run_id=feat_20260707T145002301929Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T14:51:48.346179+00:00 | run_id=feat_20260707T145148346179Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-07T17:30:10.569839+00:00 | run_id=feat_20260707T173010569839Z | status=completed | snapshot_date=2026-07-07 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-08T17:30:10.816378+00:00 | run_id=feat_20260708T173010816378Z | status=completed | snapshot_date=2026-07-08 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-09T14:54:06.694456+00:00 | run_id=feat_20260709T145406694456Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-09T14:55:08.042094+00:00 | run_id=feat_20260709T145508042094Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-09T14:55:51.870196+00:00 | run_id=feat_20260709T145551870196Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-09T14:57:21.440735+00:00 | run_id=feat_20260709T145721440735Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-09T15:02:33.747459+00:00 | run_id=feat_20260709T150233747459Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-09T15:12:09.050893+00:00 | run_id=feat_20260709T151209050893Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-09T17:30:10.991688+00:00 | run_id=feat_20260709T173010991688Z | status=completed | snapshot_date=2026-07-09 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-10T17:30:10.644894+00:00 | run_id=feat_20260710T173010644894Z | status=completed | snapshot_date=2026-07-10 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-11T17:30:10.609274+00:00 | run_id=feat_20260711T173010609274Z | status=completed | snapshot_date=2026-07-11 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-12T17:30:13.531982+00:00 | run_id=feat_20260712T173013531982Z | status=completed | snapshot_date=2026-07-12 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-13T14:18:34.773809+00:00 | run_id=feat_20260713T141834773809Z | status=completed | snapshot_date=2026-07-13 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-13T14:34:27.396627+00:00 | run_id=feat_20260713T143427396627Z | status=completed | snapshot_date=2026-07-13 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-13T14:35:50.295355+00:00 | run_id=feat_20260713T143550295355Z | status=completed | snapshot_date=2026-07-13 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-13T14:45:20.285709+00:00 | run_id=feat_20260713T144520285709Z | status=completed | snapshot_date=2026-07-13 | academic_period_key=2 | rows_student=172 | rows_behaviour_pred=172 | rows_academic_pred=172
2026-07-13T17:30:13.995081+00:00 | run_id=feat_20260713T173013995081Z | status=completed | snapshot_date=2026-07-13 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-14T05:04:47.850499+00:00 | run_id=feat_20260714T050447850499Z | status=completed | snapshot_date=2026-07-14 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-14T17:30:21.349403+00:00 | run_id=feat_20260714T173021349403Z | status=completed | snapshot_date=2026-07-14 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-15T17:30:11.252719+00:00 | run_id=feat_20260715T173011252719Z | status=completed | snapshot_date=2026-07-15 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-16T16:55:01.102684+00:00 | run_id=feat_20260716T165501102684Z | status=completed | snapshot_date=2026-07-17 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-16T17:05:20.837618+00:00 | run_id=feat_20260716T170520837618Z | status=completed | snapshot_date=2026-07-17 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-16T17:30:14.428036+00:00 | run_id=feat_20260716T173014428036Z | status=completed | snapshot_date=2026-07-16 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
